start_time,end_time,working _time,remark,url
2022-09-26 22:30,2022-09-26 23:30,60,"review workflow, add template",https://avenzacorp.sharepoint.com/sites/BAS/Shared%20Documents/Forms/AllItems.aspx?newTargetListUrl=%2Fsites%2FBAS%2FShared%20Documents&viewpath=%2Fsites%2FBAS%2FShared%20Documents%2FForms%2FAllItems%2Easpx&id=%2Fsites%2FBAS%2FShared%20Documents%2F4%2ECDM%2Fdata%2Drequirements&viewid=05531855%2Dcc88%2D4850%2D933d%2D3c26c176b1a0
2022-09-27 10:25,2022-09-27 10:40,15,consolidated script py (download - ingest),
2022-09-27 12:55,2022-09-27 15:01,126,fix download files from sharepoints,https://github.com/nhphuc2210/part-time-syn/blob/main/cdm/python-code/download-from-sharepoints--testing.py
2022-09-27 19:36,2022-09-27 20:34,58,add data into template table - done weekly data testing for 2 region x 5 weeks,
2022-09-27 23:42,2022-09-28 00:14,32,"add added point_target, added certificate target",store-list folder or copy from Malcome files > https://avenzacorp.sharepoint.com/sites/RegionalCDM/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FRegionalCDM%2FShared%20Documents%2FLazada%2FStore%20List&viewid=4648f354%2D8327%2D4a82%2Db713%2Dbc856f81ae1c
2022-09-28 08:07,2022-09-28 09:07,60.00000001,discussion,
2022-09-29 08:29,2022-09-29 11:22,173.25,"build vw__date_table, point_target mapping with actual by region",
2022-09-29 13:44,2022-09-29 15:07,83.28766666,done for building the script by weekly seller and region,
2022-09-29 15:20,2022-09-29 16:00,40.35,add powbi x weekly score,
2022-09-29 17:00,2022-09-29 18:35,94.93333333,mapping seller x clean,
2022-09-29 21:33,2022-09-30 01:38,244.905,add dax ,
2022-09-30 08:15,,,,
